code,description,last_updated
   A1,Dressing for one wound,09/11/2025
   A2,Dressing for two wounds,09/11/2025
   A3,Dressing for three wounds,09/11/2025
   A4,Dressing for four wounds,09/11/2025
   A5,Dressing for five wounds,09/11/2025
   A6,Dressing for six wounds,09/11/2025
   A7,Dressing for seven wounds,09/11/2025
   A8,Dressing for eight wounds,09/11/2025
   A9,Dressing for nine or more wounds,09/11/2025
   AA,Anesthesia services performed personally by anesthesiologist,09/11/2025
   AB,"Audiology service furnished personally by an audiologist without a physician/npp order for non-acute hearing assessment unrelated to disequilibrium, or hearing aids, or examinations for the purpose of prescribing, fitting, or changing hearing aids; service may be performed once every 12 months, per beneficiary",09/11/2025
   AD,Medical supervision by a physician: more than four concurrent anesthesia procedures,09/11/2025
   AE,Registered dietician,09/11/2025
   AF,Specialty physician,09/11/2025
   AG,Primary physician,09/11/2025
   AH,Clinical psychologist,09/11/2025
   AI,Principal physician of record,09/11/2025
   AJ,Clinical social worker,09/11/2025
   AK,Non participating physician,09/11/2025
   AM,"Physician, team member service",09/11/2025
   AO,Alternate payment method declined by provider of service,09/11/2025
   AP,Determination of refractive state was not performed in the course of diagnostic ophthalmological examination,09/11/2025
   AQ,Physician providing a service in an unlisted health professional shortage area (hpsa),09/11/2025
   AR,Physician provider services in a physician scarcity area,09/11/2025
   AS,"Physician assistant, nurse practitioner, or clinical nurse specialist services for assistant at surgery",09/11/2025
   AT,"Acute treatment (this modifier should be used when reporting service 98940, 98941, 98942)",09/11/2025
   AU,"Item furnished in conjunction with a urological, ostomy, or tracheostomy supply",09/11/2025
   AV,"Item furnished in conjunction with a prosthetic device, prosthetic or orthotic",09/11/2025
   AW,Item furnished in conjunction with a surgical dressing,09/11/2025
   AX,Item furnished in conjunction with dialysis services,09/11/2025
   AY,Item or service furnished to an esrd patient that is not for the treatment of esrd,09/11/2025
   AZ,Physician providing a service in a dental health professional shortage area for the purpose of an electronic health record incentive payment,09/11/2025
   BA,Item furnished in conjunction with parenteral enteral nutrition (pen) services,09/11/2025
   BL,Special acquisition of blood and blood products,09/11/2025
