code,description,detailed_description,last_updated
A00,Cholera,N/A,09/11/2025
A000,"Cholera due to Vibrio cholerae 01, biovar cholerae","Cholera due to Vibrio cholerae 01, biovar cholerae",09/11/2025
A001,"Cholera due to Vibrio cholerae 01, biovar eltor","Cholera due to Vibrio cholerae 01, biovar eltor",09/11/2025
A009,"Cholera, unspecified","Cholera, unspecified",09/11/2025
A01,Typhoid and paratyphoid fevers,N/A,09/11/2025
A010,Typhoid fever,Typhoid fever,09/11/2025
A011,Paratyphoid fever A,Paratyphoid fever A,09/11/2025
A012,Paratyphoid fever B,Paratyphoid fever B,09/11/2025
A013,Paratyphoid fever C,Paratyphoid fever C,09/11/2025
A014,"Paratyphoid fever, unspecified","Paratyphoid fever, unspecified",09/11/2025
A02,Other salmonella infections,N/A,09/11/2025
A020,Salmonella enteritis,Salmonella enteritis,09/11/2025
A021,Salmonella sepsis,Salmonella sepsis,09/11/2025
A022,Localized salmonella infections,Localized salmonella infections,09/11/2025
A028,Other specified salmonella infections,Other specified salmonella infections,09/11/2025
A029,"Salmonella infection, unspecified","Salmonella infection, unspecified",09/11/2025
A03,Shigellosis,N/A,09/11/2025
A030,Shigellosis due to Shigella dysenteriae,Shigellosis due to Shigella dysenteriae,09/11/2025
A031,Shigellosis due to Shigella flexneri,Shigellosis due to Shigella flexneri,09/11/2025
A032,Shigellosis due to Shigella boydii,Shigellosis due to Shigella boydii,09/11/2025
A033,Shigellosis due to Shigella sonnei,Shigellosis due to Shigella sonnei,09/11/2025
A038,Other shigellosis,Other shigellosis,09/11/2025
A039,"Shigellosis, unspecified","Shigellosis, unspecified",09/11/2025
A04,Other bacterial intestinal infections,N/A,09/11/2025
A040,Enteropathogenic Escherichia coli infection,Enteropathogenic Escherichia coli infection,09/11/2025
A041,Enterotoxigenic Escherichia coli infection,Enterotoxigenic Escherichia coli infection,09/11/2025
A042,Enteroinvasive Escherichia coli infection,Enteroinvasive Escherichia coli infection,09/11/2025
A043,Enterohaemorrhagic Escherichia coli infection,Enterohaemorrhagic Escherichia coli infection,09/11/2025
A044,Other intestinal Escherichia coli infections,Other intestinal Escherichia coli infections,09/11/2025
A045,Campylobacter enteritis,Campylobacter enteritis,09/11/2025
A046,Enteritis due to Yersinia enterocolitica,Enteritis due to Yersinia enterocolitica,09/11/2025
A047,Enterocolitis due to Clostridium difficile,Enterocolitis due to Clostridium difficile,09/11/2025
A048,Other specified bacterial intestinal infections,Other specified bacterial intestinal infections,09/11/2025
A049,"Bacterial intestinal infection, unspecified","Bacterial intestinal infection, unspecified",09/11/2025
A05,"Other bacterial foodborne intoxications, not elsewhere classified",N/A,09/11/2025
A050,Foodborne staphylococcal intoxication,Foodborne staphylococcal intoxication,09/11/2025
A051,Botulism,Botulism,09/11/2025
A052,Foodborne Clostridium perfringens [Clostridium welchii] intoxication,Foodborne Clostridium perfringens [Clostridium welchii] intoxication,09/11/2025
A053,Foodborne Vibrio parahaemolyticus intoxication,Foodborne Vibrio parahaemolyticus intoxication,09/11/2025
A054,Foodborne Bacillus cereus intoxication,Foodborne Bacillus cereus intoxication,09/11/2025
A058,Other specified bacterial foodborne intoxications,Other specified bacterial foodborne intoxications,09/11/2025
A059,"Bacterial foodborne intoxication, unspecified","Bacterial foodborne intoxication, unspecified",09/11/2025
A06,Amoebiasis,N/A,09/11/2025
A060,Acute amoebic dysentery,Acute amoebic dysentery,09/11/2025
A061,Chronic intestinal amoebiasis,Chronic intestinal amoebiasis,09/11/2025
A062,Amoebic nondysenteric colitis,Amoebic nondysenteric colitis,09/11/2025
A063,Amoeboma of intestine,Amoeboma of intestine,09/11/2025
A064,Amoebic liver abscess,Amoebic liver abscess,09/11/2025
A065,Amoebic lung abscess,Amoebic lung abscess,09/11/2025
A066,Amoebic brain abscess,Amoebic brain abscess,09/11/2025
A067,Cutaneous amoebiasis,Cutaneous amoebiasis,09/11/2025
A068,Amoebic infection of other sites,Amoebic infection of other sites,09/11/2025
A069,"Amoebiasis, unspecified","Amoebiasis, unspecified",09/11/2025
A07,Other protozoal intestinal diseases,N/A,09/11/2025
A070,Balantidiasis,Balantidiasis,09/11/2025
A071,Giardiasis [lambliasis],Giardiasis [lambliasis],09/11/2025
